
EventType,X,Y,Button,Key,Speed,Timestamp
mousemove,1502,793,,,,2024-08-26T05:07:20.858Z
mousemove,1501,793,,,,2024-08-26T05:07:20.869Z
mousemove,1498,791,,,,2024-08-26T05:07:20.878Z
mousemove,1492,786,,,,2024-08-26T05:07:20.893Z
mousemove,1482,780,,,,2024-08-26T05:07:20.908Z
mousemove,1470,768,,,,2024-08-26T05:07:20.923Z
mousemove,1452,751,,,,2024-08-26T05:07:20.937Z
mousemove,1431,728,,,,2024-08-26T05:07:20.952Z
mousemove,1405,706,,,,2024-08-26T05:07:20.967Z
mousemove,1375,680,,,,2024-08-26T05:07:20.981Z
mousemove,1345,656,,,,2024-08-26T05:07:20.996Z
mousemove,1316,638,,,,2024-08-26T05:07:21.011Z
mousemove,1288,624,,,,2024-08-26T05:07:21.026Z
mousemove,1271,620,,,,2024-08-26T05:07:21.040Z
mousemove,1262,618,,,,2024-08-26T05:07:21.055Z
mousemove,1260,622,,,,2024-08-26T05:07:21.070Z
mousemove,1261,626,,,,2024-08-26T05:07:21.084Z
mousemove,1263,627,,,,2024-08-26T05:07:21.237Z
mousemove,1268,627,,,,2024-08-26T05:07:21.247Z
mousemove,1268,626,,,,2024-08-26T05:07:21.261Z
mousemove,1264,617,,,,2024-08-26T05:07:21.275Z
mousemove,1252,602,,,,2024-08-26T05:07:21.290Z
mousemove,1238,583,,,,2024-08-26T05:07:21.305Z
mousemove,1218,557,,,,2024-08-26T05:07:21.319Z
mousemove,1197,527,,,,2024-08-26T05:07:21.335Z
mousemove,1172,496,,,,2024-08-26T05:07:21.349Z
mousemove,1148,464,,,,2024-08-26T05:07:21.364Z
mousemove,1122,428,,,,2024-08-26T05:07:21.378Z
mousemove,1098,393,,,,2024-08-26T05:07:21.393Z
mousemove,1077,358,,,,2024-08-26T05:07:21.408Z
mousemove,1062,331,,,,2024-08-26T05:07:21.422Z
mousemove,1052,306,,,,2024-08-26T05:07:21.437Z
mousemove,1044,285,,,,2024-08-26T05:07:21.452Z
mousemove,1040,266,,,,2024-08-26T05:07:21.467Z
mousemove,1036,250,,,,2024-08-26T05:07:21.481Z
mousemove,1033,236,,,,2024-08-26T05:07:21.496Z
mousemove,1032,228,,,,2024-08-26T05:07:21.511Z
mousemove,1032,225,,,,2024-08-26T05:07:21.526Z
mousemove,1032,226,,,,2024-08-26T05:07:21.589Z
mousemove,1034,226,,,,2024-08-26T05:07:21.600Z
mousemove,1035,228,,,,2024-08-26T05:07:21.614Z
mousemove,1037,230,,,,2024-08-26T05:07:21.628Z
mousemove,1038,231,,,,2024-08-26T05:07:21.643Z
mousemove,1040,234,,,,2024-08-26T05:07:21.658Z
mousemove,1042,237,,,,2024-08-26T05:07:21.673Z
mousemove,1042,242,,,,2024-08-26T05:07:21.687Z
mousemove,1044,244,,,,2024-08-26T05:07:21.702Z
mousemove,1044,245,,,,2024-08-26T05:07:21.717Z
mousemove,1044,246,,,,2024-08-26T05:07:21.823Z
mousemove,1045,247,,,,2024-08-26T05:07:21.864Z
mousemove,1045,250,,,,2024-08-26T05:07:21.879Z
mousemove,1045,253,,,,2024-08-26T05:07:21.894Z
mousemove,1046,256,,,,2024-08-26T05:07:21.908Z
mousemove,1047,260,,,,2024-08-26T05:07:21.923Z
mousemove,1048,262,,,,2024-08-26T05:07:21.937Z
mousemove,1048,262,,,,2024-08-26T05:07:22.025Z
mousemove,1048,262,,,,2024-08-26T05:07:22.040Z
mousemove,1048,262,,,,2024-08-26T05:07:22.055Z
click,1048,262,,,,2024-08-26T05:07:22.099Z
keystroke,,,,1,,2024-08-26T05:07:24.097Z
keystroke,,,,2,614,2024-08-26T05:07:24.711Z
keystroke,,,,1,199,2024-08-26T05:07:24.910Z
keystroke,,,,2,367,2024-08-26T05:07:25.277Z
keystroke,,,,3,221,2024-08-26T05:07:25.498Z
keystroke,,,,1,280,2024-08-26T05:07:25.779Z
keystroke,,,,2,91,2024-08-26T05:07:25.869Z
keystroke,,,,1,124,2024-08-26T05:07:25.993Z
keystroke,,,,3,103,2024-08-26T05:07:26.096Z
keystroke,,,,2,343,2024-08-26T05:07:26.439Z
keystroke,,,,1,213,2024-08-26T05:07:26.652Z
keystroke,,,,2,178,2024-08-26T05:07:26.830Z
